Model,Latitude,Longitude
ACCESS1-0,1.25,1.875
ACCESS1-3,1.25,1.875
bcc-csm1-1,2.7906,2.8125
bcc-csm1-1(m),2.7906,2.8125
BNU-ESM,2.7906,2.8125
CCSM4,0.9424,1.25
CESM1-BGC,0.9424,1.25
CESM1-CAM5,0.9424,1.25
CESM1-FASTCHEM,0.9424,1.25
CESM1-WACCM,1.8848,2.5
CFSv2-2011,1,1
CMCC-CESM,3.4431,3.75
CMCC-CM,0.7484,0.75
CMCC-CMS,3.7111,3.75
CNRM-CM5,1.4008,1.40625
CNRM-CM5-2,1.4008,1.40625
CSIRO-Mk3.6.0,1.8653,1.875
CSIRO-Mk3L-1-2,3.1857,5.625
CanAM4,2.7906,2.8125
CanCM4,2.7906,2.8125
CanESM2,2.7906,2.8125
EC-EARTH,1.1215,1.125
FGOALS-g2,2.7906,2.8125
FGOALS-gl,4.1026,5
FGOALS-s2,1.659,2.8125
GEOS-5,2,2.5
GFDL-CM2.1,2.0225,2.5
GFDL-CM3,2,2.5
GFDL-ESM2G,2.0225,2
GFDL-ESM2M,2.0225,2.5
GISS-E2-H,2,2.5
GISS-E2-H-CC,2,2.5
GISS-E2-R,2,2.5
GISS-E2-R-CC,2,2.5
HadCM3,2.5,3.75
HadGEM2-A,1.25,1.875
HadGEM2-AO,1.25,1.875
HadGEM2-CC,1.25,1.875
HadGEM2-ES,1.25,1.875
INM-CM4,1.5,2
IPSL-CM5A-LR,1.8947,3.75
IPSL-CM5A-MR,1.2676,2.5
IPSL-CM5B-LR,1.8947,3.75
MIROC-ESM,2.7906,2.8125
MIROC-ESM-CHEM,2.7906,2.8125
MIROC4h,0.5616,0.5625
MIROC5,1.4008,1.40625
MPI-ESM-LR,1.8653,1.875
MPI-ESM-MR,1.8653,1.875
MPI-ESM-P,1.8653,1.875
MRI-AGCM3-2H,0.562,0.5625
MRI-AGCM3-2S,0.188,0.1875
MRI-CGCM3,1.12148,1.125
MRI-ESM1,1.12148,1.125
NorESM1-M,1.8947,2.5
NorESM1-ME,1.8947,2.5
